Overall Results,,,Results By Team,,,
Date,Location,Result,Date,Opponent,Result,Attendance
08/29/2025,"Cambridge, Mass.",Harvard 0 - 1 Belmont,,,,
08/29/2025,Providence,Brown 2 - 1 Holy Cross,"Penn (8-5-4, 3-2-2)",,,
,,,Date,Opponent,Result,Attendance
,,,08/29/2025,Loyola Maryland,W 4-0,200
,,,09/05/2025,at Seton Hall,T 0-0,543
,,,09/09/2025,at Delaware,L 0-1,421
,,,09/12/2025,VCU,L 0-1,312
,,,09/16/2025,Drexel,T 3-3,57
,,,09/20/2025,Air Force,W 2-0,156
,,,09/23/2025,Villanova,W 3-0,237
,,,09/28/2025,* at Columbia,T 2-2,275
,,,10/04/2025,* Harvard,W 2-0,253
,,,10/07/2025,at Temple,W 1-0,352
,,,10/11/2025,* at Brown,T 0-0,455
,,,10/14/2025,William & Mary,W 6-1,157
,,,10/18/2025,* Cornell,L 1-2,240
,,,10/25/2025,* at Dartmouth,W 2-0,911
,,,11/01/2025,* Yale,W 3-0,197
,,,11/08/2025,* Princeton,L 0-1,513
,,,11/13/2025,at Cornell,L 0-1,234
,,,,,,
,,,* = Conference game,,,
,,,,,,
,,,"Princeton (15-2-2, 7-0-0)",,,
,,,Date,Opponent,Result,Attendance
,,,09/05/2025,Rutgers,W 3-1,1036
,,,09/10/2025,Hofstra,L 0-1,154
,,,09/13/2025,at Villanova,W 3-0,414
,,,09/16/2025,Massachusetts,W 2-0,429
,,,09/20/2025,UAlbany,W 2-0,223
,,,09/23/2025,at Seton Hall,W 3-1,387
,,,09/27/2025,* at Harvard,W 1-0,914
,,,09/30/2025,at Army West Point,W 2-0,195
,,,10/04/2025,* Brown,W 1-0,438
,,,10/11/2025,* at Cornell,W 2-0,950
,,,10/14/2025,at James Madison,T 1-1,550
,,,10/18/2025,* Columbia,W 2-0,536
,,,10/21/2025,Bryant,T 0-0,598
,,,10/25/2025,* at Yale,W 4-0,253
,,,11/01/2025,* Dartmouth,W 1-0,604
,,,11/08/2025,* at Penn,W 1-0,513
,,,11/13/2025,Harvard,W 3-1,634
,,,11/16/2025,Cornell,W 2-0,1513
,,,11/23/2025,Duke,L 1-2,2303
,,,,,,
,,,* = Conference game,,,
,,,,,,
